order_id,product_id,order_date,qty,region,customer_type,base_price,unit_price,discount_pct,order_value,order_month,category,is_on_sale,sale_event,day_of_week,calc_order_value
1,SKU0028,2025-01-16,1,KwaZulu-Natal,Individual,34999,23008.09,34.26,23008.09,2025-01,Gaming & Entertainment,true,Volume Discount,Thursday,23008.09
2,SKU0030,2025-01-16,1,Gauteng,Individual,12999,9231.91,28.98,9231.91,2025-01,Wearables & Smart Devices,true,Year End Sale,Thursday,9231.91
3,SKU0016,2025-01-16,3,Eastern Cape,Individual,1299,870.43,32.99,2611.28,2025-01,Accessories & Peripherals,true,New Client Promotion,Thursday,2611.28
4,SKU0030,2025-01-16,4,Gauteng,Individual,12999,9018.56,30.62,36074.26,2025-01,Wearables & Smart Devices,true,Bulk Purchase,Thursday,36074.26
5,SKU0013,2025-01-21,1,Western Cape,Individual,8999,6788.52,24.56,6788.52,2025-01,Mobile & Smartphones,true,Bulk Purchase,Tuesday,6788.52
6,SKU0020,2025-01-21,3,Western Cape,Business,5579,3672.22,34.18,11016.66,2025-01,Displays & Audio Visual,true,Year End Sale,Tuesday,11016.66
7,SKU0030,2025-01-21,1,Gauteng,Individual,12999,9829.56,24.38,9829.56,2025-01,Wearables & Smart Devices,true,Volume Discount,Tuesday,9829.56
8,SKU0020,2025-01-26,1,Eastern Cape,Individual,5579,3743.56,32.9,3743.56,2025-01,Displays & Audio Visual,true,Bulk Purchase,Sunday,3743.56
9,SKU0005,2025-01-26,2,Gauteng,Individual,39999,29686.76,25.78,59373.52,2025-01,Computers & Laptops,true,Year End Sale,Sunday,59373.52
10,SKU0023,2025-01-26,2,KwaZulu-Natal,Individual,6999,5346.16,23.62,10692.32,2025-01,Networking & Storage,true,New Client Promotion,Sunday,10692.32
11,SKU0028,2025-01-26,2,Gauteng,Individual,34999,25399.6,27.43,50799.19,2025-01,Gaming & Entertainment,true,Volume Discount,Sunday,50799.19
12,SKU0027,2025-01-31,1,Free State,Individual,4087,3110.95,23.88,3110.95,2025-01,Software & Licensing,true,New Client Promotion,Friday,3110.95
13,SKU0011,2025-01-16,2,Free State,Individual,18999,12436.03,34.54,24872.06,2025-01,Mobile & Smartphones,true,Year End Sale,Thursday,24872.06
14,SKU0019,2025-01-16,3,Eastern Cape,Individual,12999,8592.35,33.9,25777.06,2025-01,Displays & Audio Visual,true,New Client Promotion,Thursday,25777.06
15,SKU0004,2025-01-16,1,Eastern Cape,Business,45999,32037.71,30.35,32037.71,2025-01,Computers & Laptops,true,New Client Promotion,Thursday,32037.71
16,SKU0020,2025-01-21,4,Gauteng,Individual,5579,4215.26,24.44,16861.05,2025-01,Displays & Audio Visual,true,Bulk Purchase,Tuesday,16861.05
